model,selection_type,scenario,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,total_cost
baseline,max_f1,not_applicable,0.37,0.7714691270404542,0.555793991416309,0.6925133689839572,0.6166666666666667,0.8426464129788939,0.6318877032614234,
baseline,cost_based,low_incentive,0.06,0.552874378992193,0.37018255578093306,0.9759358288770054,0.5367647058823529,0.8426464129788939,0.6318877032614234,21330.0
baseline,cost_based,medium_incentive,0.15,0.6685592618878637,0.44030808729139925,0.9171122994652406,0.5949696444058976,0.8426464129788939,0.6318877032614234,35460.0
baseline,cost_based,high_incentive,0.31,0.7558552164655784,0.5288461538461539,0.7352941176470589,0.6152125279642058,0.8426464129788939,0.6318877032614234,59100.0
balanced,max_f1,not_applicable,0.62,0.7700496806245565,0.5534188034188035,0.6925133689839572,0.6152019002375297,0.8422459893048129,0.6308756530138517,
balanced,cost_based,low_incentive,0.16,0.5564229950319376,0.3718079673135853,0.9732620320855615,0.5380635624538064,0.8422459893048129,0.6308756530138517,21450.0
balanced,cost_based,medium_incentive,0.32,0.6621717530163236,0.4356060606060606,0.9224598930481284,0.5917667238421955,0.8422459893048129,0.6308756530138517,35520.0
balanced,cost_based,high_incentive,0.57,0.7608232789212207,0.5360623781676414,0.7352941176470589,0.6200676437429538,0.8422459893048129,0.6308756530138517,58260.0
