model,selection_type,scenario,threshold,accuracy,precision,recall,f1,tn,fp,fn,tp,cfn,cfp,total_cost,recall_constraint_satisfied
baseline,max_f1,not_applicable,0.37,0.7959183673469388,0.6,0.6923076923076923,0.6428571428571429,690,138,92,207,,,,True
baseline,cost_based,low_incentive,0.06,0.5474711623779946,0.3672955974842767,0.9765886287625418,0.5338208409506399,325,503,7,292,300.0,30.0,17190.0,True
baseline,cost_based,medium_incentive,0.15,0.6601597160603372,0.4329073482428115,0.9063545150501672,0.585945945945946,473,355,28,271,300.0,60.0,29700.0,True
baseline,cost_based,high_incentive,0.31,0.7755102040816326,0.556930693069307,0.7525083612040134,0.6401137980085349,649,179,74,225,300.0,120.0,43680.0,True
balanced,max_f1,not_applicable,0.62,0.7959183673469388,0.5994236311239193,0.6956521739130435,0.6439628482972136,689,139,91,208,,,,True
balanced,cost_based,low_incentive,0.16,0.5527950310559007,0.3700887198986058,0.9765886287625418,0.5367647058823529,331,497,7,292,300.0,30.0,17010.0,True
balanced,cost_based,medium_incentive,0.32,0.6557231588287489,0.42992125984251967,0.9130434782608695,0.5845824411134903,466,362,26,273,300.0,60.0,29520.0,True
balanced,cost_based,high_incentive,0.57,0.7808340727595386,0.5666666666666667,0.7391304347826086,0.6415094339622641,659,169,78,221,300.0,120.0,43680.0,True
