model,selection_type,scenario,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,cfn,cfp,total_cost,recall_constraint_satisfied
baseline,cost_based,low_incentive,0.06,0.553584102200142,0.37055837563451777,0.9759358288770054,0.5371596762325239,0.8426412462218089,0.6322326913618448,415,620,9,365,300.0,30.0,21300.0,True
baseline,cost_based,medium_incentive,0.17,0.6799148332150461,0.4484605087014726,0.8957219251336899,0.5976806422836753,0.8426412462218089,0.6322326913618448,623,412,39,335,300.0,60.0,36420.0,True
baseline,cost_based,high_incentive,0.31,0.7558552164655784,0.5288461538461539,0.7352941176470589,0.6152125279642058,0.8426412462218089,0.6322326913618448,790,245,99,275,300.0,120.0,59100.0,True
balanced,cost_based,low_incentive,0.16,0.5564229950319376,0.3718079673135853,0.9732620320855615,0.5380635624538064,0.8422459893048129,0.6313819510509913,420,615,10,364,300.0,30.0,21450.0,True
balanced,cost_based,medium_incentive,0.32,0.6621717530163236,0.4356060606060606,0.9224598930481284,0.5917667238421955,0.8422459893048129,0.6313819510509913,588,447,29,345,300.0,60.0,35520.0,True
balanced,cost_based,high_incentive,0.57,0.7608232789212207,0.5362035225048923,0.732620320855615,0.6192090395480226,0.8422459893048129,0.6313819510509913,798,237,100,274,300.0,120.0,58440.0,True
